frame,joint,x,y,z
0,0,0.000000,0.000000,0.030000
0,1,0.025569,0.032838,0.352861
0,2,-0.009530,-0.027856,0.331050
0,3,0.032003,0.010184,0.365547
0,4,0.034488,0.012795,0.314205
0,5,-0.176029,0.000000,0.628181
0,6,0.228232,0.000000,0.627393
0,7,0.010057,0.029688,0.327448
0,8,0.052098,-0.027528,0.316690
0,9,0.013345,-0.015514,0.342302
0,10,0.012462,-0.010682,0.326221
0,11,-0.105440,0.000000,0.021537
0,12,0.196602,0.000000,0.020024
0,13,0.034809,-0.005046,0.313975
0,14,0.057635,-0.008625,0.322156
0,15,0.051011,0.008491,0.319426
0,16,0.083132,-0.013274,0.337054
0,17,0.041531,-0.019159,0.335374
0,18,0.039902,-0.007753,0.281401
0,19,0.005351,0.012686,0.283849
0,20,0.061030,0.036963,0.302803
0,21,0.020628,0.007884,0.318253
0,22,0.035189,0.000349,0.327629
0,23,0.062594,0.014200,0.281496
0,24,0.032700,0.012058,0.292493
1,0,0.003507,0.000000,0.029926
1,1,-0.003731,-0.015308,0.317065
1,2,-0.000086,-0.009022,0.352253
1,3,0.002077,0.017738,0.337182
1,4,0.025448,-0.016548,0.319045
1,5,-0.173010,0.000000,0.627390
1,6,0.231057,0.000000,0.626467
1,7,0.074285,0.001981,0.336179
1,8,0.051484,0.021113,0.319487
1,9,0.029046,-0.001192,0.317725
1,10,0.059678,0.003792,0.326319
1,11,-0.103959,0.000000,0.020019
1,12,0.197758,0.000000,0.018408
1,13,0.051898,0.024567,0.305853
1,14,0.040180,0.017703,0.312794
1,15,0.057218,-0.014580,0.313532
1,16,0.058390,-0.026549,0.297245
1,17,0.057470,0.044976,0.318414
1,18,0.046597,-0.016904,0.314981
1,19,-0.003964,-0.000991,0.298490
1,20,0.033505,0.046407,0.253542
1,21,0.040838,0.001380,0.310264
1,22,0.006227,-0.009332,0.268909
1,23,0.032304,0.003918,0.300014
1,24,0.027144,0.003719,0.298194
2,0,0.006997,0.000000,0.029705
2,1,0.020006,0.000505,0.293681
2,2,0.000399,0.006911,0.310622
2,3,0.005347,0.002267,0.327266
2,4,0.043600,0.010237,0.318685
2,5,-0.170124,0.000000,0.626464
2,6,0.233729,0.000000,0.625411
2,7,0.039531,-0.057177,0.308286
2,8,0.037441,-0.047745,0.316489
2,9,0.048163,0.020699,0.329587
2,10,0.083125,0.030559,0.287328
2,11,-0.102704,0.000000,0.018403
2,12,0.198679,0.000000,0.016701
2,13,0.045055,-0.003124,0.316750
2,14,0.038522,0.012208,0.327960
2,15,0.019394,0.018907,0.298188
2,16,0.070409,0.011293,0.306552
2,17,0.087961,0.017804,0.307789
2,18,0.051603,0.048303,0.333430
2,19,0.063581,0.004304,0.314262
2,20,0.045075,-0.030516,0.318625
2,21,0.047499,-0.027012,0.285966
2,22,0.030950,0.006514,0.331296
2,23,0.032611,-0.038825,0.307637
2,24,0.024919,-0.034855,0.246955
3,0,0.010453,0.000000,0.029337
3,1,-0.006005,0.007566,0.313660
3,2,0.031953,-0.005622,0.331849
3,3,0.038494,0.011578,0.306336
3,4,0.067230,-0.039546,0.322702
3,5,-0.167385,0.000000,0.625408
3,6,0.236235,0.000000,0.624230
3,7,0.019062,0.023803,0.296723
3,8,0.021675,-0.022780,0.293959
3,9,0.033342,0.003604,0.300618
3,10,0.012911,-0.005622,0.317484
3,11,-0.101683,0.000000,0.016695
3,12,0.199360,0.000000,0.014911
3,13,0.063843,-0.016492,0.309006
3,14,0.067805,-0.020152,0.308916
3,15,0.042022,-0.029111,0.306555
3,16,0.070753,0.044618,0.277995
3,17,0.065533,0.022056,0.329208
3,18,0.036340,0.006123,0.290608
3,19,0.053934,0.023805,0.295783
3,20,0.044372,0.017024,0.312993
3,21,0.023536,0.027247,0.306247
3,22,0.036312,0.000656,0.308464
3,23,0.049947,-0.025481,0.275116
