frame,joint,x,y,z
0,0,0.000000,0.000000,0.000000
0,1,0.020577,0.032838,0.322934
0,2,-0.019464,-0.027856,0.301344
0,3,0.017227,0.010184,0.336206
0,4,0.015017,0.012795,0.285374
0,5,-0.200000,0.000000,0.600000
0,6,0.200000,0.000000,0.600000
0,7,-0.022154,0.029688,0.300978
0,8,0.016230,-0.027528,0.291273
0,9,-0.025822,-0.015514,0.318061
0,10,-0.029612,-0.010682,0.303276
0,11,-0.150000,0.000000,0.000000
0,12,0.150000,0.000000,0.000000
0,13,-0.013369,-0.005046,0.295563
0,14,0.008363,-0.008625,0.305445
0,15,0.001136,0.008491,0.304499
0,16,0.033154,-0.013274,0.323984
0,17,-0.008052,-0.019159,0.324224
0,18,-0.008790,-0.007753,0.272226
0,19,-0.041964,0.012686,0.276695
0,20,0.015565,0.036963,0.297704
0,21,-0.022532,0.007884,0.315235
0,22,-0.005236,0.000349,0.326705
0,23,0.025309,0.014200,0.282672
0,24,-0.001074,0.012058,0.295763
1,0,0.000000,0.000000,0.000000
1,1,-0.012200,-0.015308,0.287360
1,2,-0.013432,-0.009022,0.322914
1,3,-0.016013,0.017738,0.308352
1,4,0.002795,-0.016548,0.290866
1,5,-0.199877,-0.007019,0.600000
1,6,0.199877,0.007019,0.600000
1,7,0.039471,0.001981,0.310764
1,8,0.013261,0.021113,0.295250
1,9,-0.012204,-0.001192,0.294784
1,10,0.015814,0.003792,0.304785
1,11,-0.149908,-0.005264,0.000000
1,12,0.149908,0.005264,0.000000
1,13,0.002900,0.024567,0.289147
1,14,-0.009567,0.017703,0.297872
1,15,0.007218,-0.014580,0.300467
1,16,0.008637,-0.026549,0.286101
1,17,0.008461,0.044976,0.309246
1,18,-0.001178,-0.016904,0.307833
1,19,-0.050028,-0.000991,0.293397
1,20,-0.010388,0.046407,0.250529
1,21,-0.000445,0.001380,0.309347
1,22,-0.032034,-0.009332,0.270091
1,23,-0.002552,0.003918,0.303290
1,24,-0.003960,0.003719,0.303547
2,0,0.000000,0.000000,0.000000
2,1,0.008101,0.000505,0.264343
2,2,-0.016294,0.006911,0.281793
2,3,-0.015968,0.002267,0.299089
2,4,0.017876,0.010237,0.291297
2,5,-0.199507,-0.014029,0.600000
2,6,0.199507,0.014029,0.600000
2,7,0.002285,-0.057177,0.284052
2,8,-0.002949,-0.047745,0.293551
2,9,0.005033,0.020699,0.308059
2,10,0.037685,0.030559,0.267313
2,11,-0.149631,-0.010522,0.000000
2,12,0.149631,0.010522,0.000000
2,13,-0.004521,-0.003124,0.301834
2,14,-0.011455,0.012208,0.314901
2,15,-0.030485,0.018907,0.287049
2,16,0.021126,0.011293,0.297389
2,17,0.039767,0.017804,0.300646
2,18,0.004979,0.048303,0.328343
2,19,0.018994,0.004304,0.311256
2,20,0.002970,-0.030516,0.317713
2,21,0.008295,-0.027012,0.287153
2,22,-0.004959,0.006514,0.334577
2,23,0.000354,-0.038825,0.312996
2,24,-0.003362,-0.034855,0.254366
3,0,0.000000,0.000000,0.000000
3,1,-0.021287,0.007566,0.284833
3,2,0.011994,-0.005622,0.303674
3,3,0.014058,0.011578,0.278950
3,4,0.038562,-0.039546,0.296240
3,5,-0.198892,-0.021022,0.600000
3,6,0.198892,0.021022,0.600000
3,7,-0.020432,0.023803,0.273790
